fecha_inicio,fecha_final,suministro_min,suministro_max,tipo,precio
2018-05-11,2019-12-31,0,6,doméstico,"0,6087"
2018-05-11,2019-12-31,7,9,doméstico,"1,2175"
2018-05-11,2019-12-31,10,15,doméstico,"1,8262"
2018-05-11,2019-12-31,16,18,doméstico,"2,4349"
2018-05-11,2019-12-31,18,inf,doméstico,"3,0436"
2020-01-01,2021-08-03,0,6,doméstico,"0,5849"
2020-01-01,2021-08-03,7,9,doméstico,"1,1699"
2020-01-01,2021-08-03,10,15,doméstico,"1,7548"
2020-01-01,2021-08-03,16,18,doméstico,"2,3397"
2020-01-01,2021-08-03,18,inf,doméstico,"2,9246"
2021-08-04,2021-12-31,0,6,doméstico,"0,5941"
2021-08-04,2021-12-31,7,9,doméstico,"1,1883"
2021-08-04,2021-12-31,10,15,doméstico,"1,7824"
2021-08-04,2021-12-31,16,18,doméstico,"2,3764"
2021-08-04,2021-12-31,18,inf,doméstico,"2,9705"
2018-05-11,2019-12-31,0,9,comercial/industrial,"0,8924"
2018-05-11,2019-12-31,10,inf,comercial/industrial,"1,7848"
2020-01-01,2021-08-03,0,9,comercial/industrial,"0,8575"
2020-01-01,2021-08-03,10,inf,comercial/industrial,"1,715"
2021-08-04,2021-12-31,0,9,comercial/industrial,"0,871"
2021-08-04,2021-12-31,10,inf,comercial/industrial,"1,1883"
